TransactionID,SaleDate,CustomerID,ProductID,StoreID,CampaignID,SaleAmount,DiscountPercent,PaymentType
550,2024-01-06,1008,102,404,0,39.1,0,Cash
551,2024-01-06,1009,105,403,0,19.78,0,Card
552,2024-01-16,1004,107,404,0,335.1,5,Unknown
553,2024-01-16,1006,102,406,0,195.5,0,Cash
554,2024-01-25,1005,102,405,0,117.3,0,Card
555,2024-01-25,1001,101,401,0,2379.36,10,Gift Card
556,2024-01-29,1009,104,403,0,172.4,0,Card
557,2024-01-29,1010,101,402,0,3172.48,10,Card
558,2024-02-06,1002,102,402,0,312.8,5,Gift Card
559,2024-02-06,1001,106,401,0,622.86,5,Card
560,2024-02-06,1010,101,402,0,6344.96,15,Unknown
561,2024-02-06,1005,107,405,0,469.14,5,Card
562,2024-02-08,1003,108,403,0,12.56,0,Card
563,2024-02-08,1006,107,406,0,67.02,0,Gift Card
564,2024-02-09,1009,107,403,0,469.14,5,Gift Card
565,2024-02-09,1002,105,402,0,138.46,0,Card
566,2024-02-24,1007,103,405,0,204.84,5,Card
567,2024-02-24,1007,106,405,0,444.9,5,Gift Card
568,2024-02-24,1011,107,401,0,603.18,5,Card
569,2024-02-24,1010,101,402,0,3965.6,10,Gift Card
570,2024-02-27,1010,107,402,0,402.12,5,Card
571,2024-02-27,1011,106,401,0,533.88,5,Gift Card
572,2024-03-20,1005,105,405,0,178.02,0,Card
573,2024-03-20,1001,101,401,0,7138.08,15,Gift Card
574,2024-03-25,1006,101,406,0,4758.72,10,Gift Card
575,2024-03-25,1001,108,401,0,75.36,0,Gift Card
576,2024-04-07,1001,108,401,0,113.04,0,Gift Card
577,2024-04-07,1005,104,405,0,387.9,5,Cash
578,2024-04-10,1006,106,406,0,800.82,5,Gift Card
579,2024-04-10,1008,106,404,0,800.82,5,Card
580,2024-04-11,1004,103,404,0,22.76,0,Card
581,2024-04-11,1009,101,403,0,793.12,5,Card
582,2024-04-19,1001,101,401,0,6344.96,15,Cash
583,2024-04-19,1009,102,403,0,312.8,5,Gift Card
584,2024-04-27,1007,101,405,0,7138.08,15,Card
585,2024-04-27,1002,108,402,0,113.04,0,Gift Card
586,2024-04-30,1001,105,401,0,39.56,0,Card
587,2024-04-30,1007,102,405,0,78.2,0,Cash
588,2024-05-02,1002,102,402,0,117.3,0,Card
589,2024-05-02,1007,102,405,0,117.3,0,Gift Card
590,2024-05-08,1005,107,405,1,603.18,5,Gift Card
591,2024-05-08,1004,101,404,1,7138.08,15,Card
592,2024-05-17,1006,107,406,1,670.2,5,Gift Card
593,2024-05-17,1008,104,404,1,431.0,5,Card
594,2024-05-19,1003,101,403,1,1586.24,10,Cash
595,2024-05-19,1006,108,406,1,25.12,0,Gift Card
596,2024-05-29,1011,105,401,0,98.9,0,Cash
597,2024-05-29,1008,102,404,0,195.5,0,Gift Card
598,2024-06-06,1001,104,401,0,387.9,5,Card
599,2024-06-06,1004,102,404,0,351.9,5,Gift Card
600,2024-06-12,1010,103,402,0,182.08,0,Card
601,2024-06-12,1005,106,405,0,711.84,5,Gift Card
602,2024-06-17,1007,101,405,0,2379.36,10,Card
603,2024-06-17,1006,101,406,0,2379.36,10,Gift Card
604,2024-06-20,1009,102,403,0,39.1,0,Card
605,2024-06-20,1002,108,402,0,12.56,0,Card
606,2024-07-02,1005,105,405,0,79.12,0,Card
607,2024-07-02,1011,108,401,0,50.24,0,Card
608,2024-07-04,1003,102,403,0,39.1,0,Cash
609,2024-07-04,1004,101,404,0,3965.6,10,Card
610,2024-07-04,1010,106,402,0,88.98,0,Cash
611,2024-07-04,1006,102,406,0,195.5,0,Gift Card
612,2024-07-07,1003,104,403,2,258.6,5,Cash
613,2024-07-07,1003,104,403,2,258.6,5,Gift Card
614,2024-07-15,1011,101,401,2,7138.08,15,Cash
615,2024-07-15,1010,104,402,2,387.9,5,Card
616,2024-07-17,1001,107,401,2,134.04,0,Card
617,2024-07-17,1003,107,403,2,134.04,0,Gift Card
618,2024-07-21,1001,104,401,2,172.4,0,Card
619,2024-07-21,1008,105,404,2,79.12,0,Gift Card
620,2024-07-25,1007,108,405,0,125.6,0,Gift Card
621,2024-07-25,1010,101,402,0,7931.2,15,Cash
622,2024-08-01,1003,108,403,0,100.48,0,Gift Card
623,2024-08-01,1002,107,402,0,536.16,5,Gift Card
624,2024-08-02,1011,108,401,0,125.6,0,Gift Card
625,2024-08-02,1002,108,402,0,125.6,0,Gift Card
626,2024-08-05,1003,108,403,0,37.68,0,Cash
627,2024-08-05,1006,104,406,0,129.3,0,Gift Card
628,2024-08-14,1011,107,401,0,201.06,5,Cash
629,2024-08-14,1006,101,406,0,2379.36,10,Gift Card
630,2024-08-21,1007,104,405,0,172.4,0,Card
631,2024-08-21,1002,107,402,0,268.08,5,Gift Card
632,2024-08-25,1006,108,406,0,75.36,0,Cash
633,2024-08-25,1002,104,402,0,258.6,5,Gift Card
634,2024-08-28,1006,105,406,0,39.56,0,Cash
635,2024-08-28,1005,106,405,0,177.96,0,Gift Card
636,2024-09-05,1005,107,405,3,1072.32,10,Cash
637,2024-09-05,1007,107,405,3,1072.32,10,Card
638,2024-09-22,1001,101,401,3,6344.96,15,Gift Card
639,2024-09-22,1007,104,405,3,689.6,5,Gift Card
640,2024-09-30,1005,107,405,3,268.08,5,Cash
641,2024-09-30,1010,103,402,3,45.52,0,Unknown
642,2024-10-10,1002,101,402,0,5551.84,15,Cash
643,2024-10-10,1010,104,402,0,301.7,5,Gift Card
